[
Date: 2020-12-03T03:31:33Z , Country: Honduras , NewConfirmed: 0 , TotalConfirmed: 108253 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Hungary , NewConfirmed: 3951 , TotalConfirmed: 221073 , NewDeaths: 154 , 
Date: 2020-12-03T03:31:33Z , Country: Iceland , NewConfirmed: 21 , TotalConfirmed: 5413 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: India , NewConfirmed: 36604 , TotalConfirmed: 9499413 , NewDeaths: 501 , 
Date: 2020-12-03T03:31:33Z , Country: Indonesia , NewConfirmed: 5092 , TotalConfirmed: 543975 , NewDeaths: 136 , 
Date: 2020-12-03T03:31:33Z , Country: Iran, Islamic Republic of , NewConfirmed: 13881 , TotalConfirmed: 975951 , NewDeaths: 382 , 
Date: 2020-12-03T03:31:33Z , Country: Iraq , NewConfirmed: 2218 , TotalConfirmed: 554767 , NewDeaths: 48 , 
Date: 2020-12-03T03:31:33Z , Country: Ireland , NewConfirmed: 254 , TotalConfirmed: 72798 , NewDeaths: 16 , 
Date: 2020-12-03T03:31:33Z , Country: Israel , NewConfirmed: 1281 , TotalConfirmed: 338127 , NewDeaths: 12 , 
Date: 2020-12-03T03:31:33Z , Country: Italy , NewConfirmed: 19347 , TotalConfirmed: 1620901 , NewDeaths: 785 , 
Date: 2020-12-03T03:31:33Z , Country: Jamaica , NewConfirmed: 47 , TotalConfirmed: 10810 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Japan , NewConfirmed: 2014 , TotalConfirmed: 150976 , NewDeaths: 33 , 
Date: 2020-12-03T03:31:33Z , Country: Jordan , NewConfirmed: 4187 , TotalConfirmed: 223617 , NewDeaths: 51 , 
Date: 2020-12-03T03:31:33Z , Country: Kazakhstan , NewConfirmed: 1002 , TotalConfirmed: 175565 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Kenya , NewConfirmed: 551 , TotalConfirmed: 84169 , NewDeaths: 5 , 
Date: 2020-12-03T03:31:33Z , Country: Korea (South) , NewConfirmed: 511 , TotalConfirmed: 35163 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Kuwait , NewConfirmed: 357 , TotalConfirmed: 142992 , NewDeaths: 1 , 
Date: 2020-12-03T03:31:33Z , Country: Kyrgyzstan , NewConfirmed: 0 , TotalConfirmed: 73178 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Lao PDR , NewConfirmed: 0 , TotalConfirmed: 39 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Latvia , NewConfirmed: 612 , TotalConfirmed: 17687 , NewDeaths: 4 , 
Date: 2020-12-03T03:31:33Z , Country: Lebanon , NewConfirmed: 1511 , TotalConfirmed: 129455 , NewDeaths: 15 , 
Date: 2020-12-03T03:31:33Z , Country: Lesotho , NewConfirmed: 28 , TotalConfirmed: 2137 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Liberia , NewConfirmed: 0 , TotalConfirmed: 1595 , NewDeaths: 0 , 
Date: 2020-12-03T03:31:33Z , Country: Libya , NewConfirmed: 608 , TotalConfirmed: 83417 , NewDeaths: 13 , 
Date: 2020-12-03T03:31:33Z , Country: Liechtenstein , NewConfirmed: 16 , TotalConfirmed: 1286 , NewDeaths: 0 , 
